state,statecode,year,accountability,veto,alliance,gini_disp,ed,CP
Switzerland,SWZ,2013,0.968,0,0,29.7,12.71,0
Taiwan,TAW,2013,0.918,1,0,30.5,0,1
Tajikistan,TAJ,2013,0.224,0,0,42.8,9.352,1
Tanzania,TAZ,2013,0.815,0,0,44.7,3.645,0
Thailand,THI,2013,0.76,0,0,40.2,7.91,1
Tunisia,TUN,2013,0.927,1,0,39.3,6.331,0
Turkey,TUR,2013,0.691,1,1,39.5,6.75,1
Uganda,UGA,2013,0.625,1,0,44.4,4.54,1
Ukraine,UKR,2013,0.698,1,0,26.7,11.512,1
United Kingdom,UKG,2013,0.954,0,1,33.4,13.3,1
United States of America,USA,2013,0.973,1,1,38.1,13.61,1
Uruguay,URU,2013,0.966,1,0,36.8,8.71,0
Venezuela,VEN,2013,0.396,0,0,36.5,6.63,1
Vietnam,DRV,2013,0.381,1,0,34.7,6.532,1
Yemen,YEM,2013,0.551,1,0,37.1,0,0
Zambia,ZAM,2013,0.779,0,0,55.7,6.354,0
Zimbabwe,ZIM,2013,0.548,0,0,47.8,7.918,0
Angola,ANG,2014,0.429,0,0,49.8,2.98,0
Argentina,ARG,2014,0.912,1,0,37.8,8.77,0
Armenia,ARM,2014,0.605,1,0,36.6,10.818,0
Australia,AUL,2014,0.971,0,0,32.7,13.14,0
Austria,AUS,2014,0.971,0,0,27.7,13.14,0
Belarus,BLR,2014,0.277,1,0,24.1,10.205,0
Belgium,BEL,2014,0.96,0,1,26.2,11.29,0
Bolivia,BOL,2014,0.789,1,0,43.1,8.268,0
Botswana,BOT,2014,0.894,0,0,58.5,9.889,0
Brazil,BRA,2014,0.958,1,0,46.3,8.14,0
Bulgaria,BUL,2014,0.878,1,1,36.2,11.28,0
Burkina Faso,BFO,2014,0.879,1,0,42.2,1.428,0
Cameroon,CAO,2014,0.553,0,0,45.3,5.1,0
Canada,CAN,2014,0.929,0,1,31.6,13.08,1
Chile,CHL,2014,0.97,1,0,45.9,10.36,0
China,CHN,2014,0.17,1,0,41.6,7.688,1
Colombia,COL,2014,0.89,0,0,49.3,7.604,0
Costa Rica,COS,2014,0.973,1,0,46.2,7.5,0
Croatia,CRO,2014,0.924,1,1,55.8,0,0
Cyprus,CYP,2014,0.928,0,0,29.4,9.325,0
Czech Republic,CZR,2014,0.943,1,1,30.6,11.247,0
Denmark,DEN,2014,0.979,1,1,25.6,12.07,0
Djibouti,DJI,2014,0.393,1,0,43.2,0,0
Dominican Republic,DOM,2014,0.773,0,0,43,6.66,0
Ecuador,ECU,2014,0.67,0,0,42,8.579,0
Egypt,EGY,2014,0.356,1,0,42.3,7.72,1
El Salvador,SAL,2014,0.857,1,0,38.9,5.93,0
Estonia,EST,2014,0.964,1,1,32.9,11.456,1
Ethiopia,ETH,2014,0.328,1,0,33.3,0,0
Finland,FIN,2014,0.973,1,0,25.3,12.03,1
France,FRN,2014,0.958,1,1,29.8,12.46,1
Georgia,GRG,2014,0.856,1,0,39,10.902,0
Germany,GMY,2014,0.974,1,1,29.2,12.98,1
Ghana,GHA,2014,0.919,0,0,43.6,5.61,0
Greece,GRC,2014,0.957,0,1,33,10.7,0
Guatemala,GUA,2014,0.82,1,0,45.5,5.5,0
Honduras,HON,2014,0.687,1,0,47.6,5.79,0
Hungary,HUN,2014,0.802,1,1,27.8,11.19,0
Iceland,ICE,2014,0.94,0,1,24.9,11.388,0
India,IND,2014,0.871,1,0,49.7,4.84,1
Iran,IRN,2014,0.443,0,0,37.7,6.25,1
Ireland,IRE,2014,0.957,1,0,30.2,10.69,0
Israel,ISR,2014,0.913,0,0,35.9,10.716,1
Italy,ITA,2014,0.96,1,1,33.6,10.95,0
Jamaica,JAM,2014,0.93,0,0,40.8,9.08,0
Japan,JPN,2014,0.936,0,0,31.7,13.15,0
Jordan,JOR,2014,0.671,0,0,36.4,9.177,0
Kazakhstan,KZK,2014,0.379,1,0,26,11.748,0
Kenya,KEN,2014,0.811,1,0,45.6,6.46,0
Korea,KOR,2014,0.883,1,0,32,13,0
Kyrgyzstan,KYR,2014,0.733,1,0,33.1,10.242,0
Laos,LAO,2014,0.143,1,0,36.6,5.523,0
Latvia,LAT,2014,0.942,1,1,35,11.015,0
Lesotho,LES,2014,0.83,0,0,49.9,6.589,0
Lithuania,LIT,2014,0.944,1,1,35.3,11.584,1
Malawi,MAW,2014,0.827,0,0,45.7,4.77,0
Malaysia,MAL,2014,0.526,1,0,40.2,9.63,1
Malta,MLT,2014,0.882,0,0,27.2,0,0
Mauritania,MAA,2014,0.647,1,0,38.2,4.486,0
Mauritius,MAS,2014,0.934,0,0,38.3,7.828,0
Mexico,MEX,2014,0.816,1,0,44.5,8.48,0
Moldova,MLD,2014,0.85,1,0,33,9.986,0
Mongolia,MON,2014,0.885,1,0,34.5,0,0
Morocco,MOR,2014,0.682,0,0,41.2,4.39,0
Mozambique,MZM,2014,0.712,0,0,47.1,2.68,0
Namibia,NAM,2014,0.879,1,0,65.9,6.126,0
Netherlands,NTH,2014,0.964,1,1,26.7,11.53,1
New Zealand,NEW,2014,0.964,0,0,32.6,12.33,0
Nicaragua,NIC,2014,0.444,0,0,43.1,7.05,0
Niger,NIR,2014,0.88,1,0,37.9,1.31,0
Nigeria,NIG,2014,0.841,1,0,43.1,4.48,0
Norway,NOR,2014,0.971,0,1,25.4,12.6,1
Pakistan,PAK,2014,0.724,0,0,34.2,5.97,1
Panama,PAN,2014,0.888,1,0,46.6,9.06,0
Paraguay,PAR,2014,0.799,1,0,46.5,7.07,0
Peru,PER,2014,0.926,1,0,45,8.87,0
Philippines,PHI,2014,0.861,1,0,41.3,8.24,1
Poland,POL,2014,0.953,1,1,30.4,9.696,1
Portugal,POR,2014,0.962,1,1,33.1,7.82,1
Romania,ROM,2014,0.884,1,1,33.6,10.357,0
Russia,RUS,2014,0.421,0,0,34,9.61,1
Rwanda,RWA,2014,0.417,0,0,50.8,3.478,1
Serbia,0,2014,0.75,1,0,41.5,0,0
Seychelles,SEY,2014,0.739,0,0,33.6,10.405,0
Sierra Leone,SIE,2014,0.772,1,0,43.2,3.99,0
Singapore,SIN,2014,0.601,0,0,38.5,10.53,0
Slovakia,SLO,2014,0.926,1,1,23.2,11.176,0
South Africa,SAF,2014,0.905,0,0,61.2,7.88,0
Spain,SPN,2014,0.951,1,1,31.8,10.26,1
Sri Lanka,SRI,2014,0.626,0,0,44.9,7.421,0
Sudan,SUD,2014,0.335,1,0,40.4,0,1
Sweden,SWD,2014,0.974,1,0,23.8,11.85,1
Switzerland,SWZ,2014,0.968,0,0,29.4,12.71,0
Taiwan,TAW,2014,0.921,1,0,30,0,1
Tajikistan,TAJ,2014,0.217,0,0,42.9,9.352,0
Tanzania,TAZ,2014,0.813,0,0,44.7,3.645,0
Thailand,THI,2014,0.342,1,0,39.9,7.91,1
Tunisia,TUN,2014,0.924,1,0,39.3,6.331,0
Turkey,TUR,2014,0.597,1,1,39.6,6.75,1
Uganda,UGA,2014,0.615,1,0,44.4,4.54,0
Ukraine,UKR,2014,0.648,1,0,26.7,11.512,1
United Kingdom,UKG,2014,0.953,0,1,33.5,13.3,1
United States of America,USA,2014,0.973,1,1,38.4,13.61,1
Uruguay,URU,2014,0.964,1,0,36.4,8.71,0
Venezuela,VEN,2014,0.383,0,0,36.3,6.63,0
Vietnam,DRV,2014,0.382,1,0,34.6,6.532,1
Yemen,YEM,2014,0.469,1,0,37.2,0,0
Zambia,ZAM,2014,0.777,0,0,55.7,6.354,0
Zimbabwe,ZIM,2014,0.525,0,0,47.8,7.918,0
